Access,AVG. Response Time
0,4
1,5
2,4
3,5
4,5
5,5
6,5
7,5
8,5
9,5
10,4
11,5
12,5
13,5
14,4
15,4
16,5
17,5
18,5
19,5
20,5
21,4
22,5
23,5
24,5
25,4
26,4
27,4
28,5
29,4
30,4
31,4
32,5
33,5
34,4
35,4
36,4
37,4
38,4
39,4
40,4
41,6
42,5
43,5
44,4
45,5
46,4
47,4
48,4
49,4
50,4
51,5
52,5
53,4
54,5
55,5
56,4
57,5
58,5
59,4
60,4
61,4
62,4
63,4
64,4
65,4
66,5
67,5
68,5
69,5
70,5
71,5
72,5
73,5
74,5
75,5
76,5
77,5
78,5
79,5
80,5
81,5
82,5
83,5
84,5
85,5
86,5
87,5
88,5
89,5
90,5
91,5
92,4
93,5
94,5
95,5
96,5
97,5
98,5
99,5
